"ship_type","fuel_type","year","consumption"
"C","Oil",2025,1776.66666666667
"C","LNG",2025,0
"C","LPG",2025,0
"C","MeOH",2025,0
"C","NH3",2025,0
"C","RefPO",2025,1692.06349206349
"C","H2",2025,0
"T","Oil",2025,2184.94623655914
"T","LNG",2025,0
"T","LPG",2025,0
"T","MeOH",2025,0
"T","NH3",2025,0
"T","RefPO",2025,1950.84485407066
"T","H2",2025,0
"B","Oil",2025,2458.28571428571
"B","LNG",2025,0
"B","LPG",2025,0
"B","MeOH",2025,0
"B","NH3",2025,0
"B","RefPO",2025,2211.15646258503
"B","H2",2025,0
"G","Oil",2025,2048.27586206897
"G","LNG",2025,0
"G","LPG",2025,0
"G","MeOH",2025,0
"G","NH3",2025,0
"G","RefPO",2025,1820.68965517241
"G","H2",2025,0
"O","Oil",2025,1096.2962962963
"O","LNG",2025,0
"O","LPG",2025,0
"O","MeOH",2025,0
"O","NH3",2025,0
"O","RefPO",2025,1305.11463844797
"O","H2",2025,0
"C","Oil",2026,1758.9
"C","LNG",2026,0
"C","LPG",2026,0
"C","MeOH",2026,0
"C","NH3",2026,0
"C","RefPO",2026,1675.14285714286
"C","H2",2026,0
"T","Oil",2026,2163.09677419355
"T","LNG",2026,0
"T","LPG",2026,0
"T","MeOH",2026,0
"T","NH3",2026,0
"T","RefPO",2026,1931.33640552995
"T","H2",2026,0
"B","Oil",2026,2433.70285714286
"B","LNG",2026,0
"B","LPG",2026,0
"B","MeOH",2026,0
"B","NH3",2026,0
"B","RefPO",2026,2189.04489795918
"B","H2",2026,0
"G","Oil",2026,2027.79310344828
"G","LNG",2026,0
"G","LPG",2026,0
"G","MeOH",2026,0
"G","NH3",2026,0
"G","RefPO",2026,1802.48275862069
"G","H2",2026,0
"O","Oil",2026,1085.33333333333
"O","LNG",2026,0
"O","LPG",2026,0
"O","MeOH",2026,0
"O","NH3",2026,0
"O","RefPO",2026,1292.06349206349
"O","H2",2026,0
"C","Oil",2027,1741.13333333333
"C","LNG",2027,0
"C","LPG",2027,0
"C","MeOH",2027,0
"C","NH3",2027,0
"C","RefPO",2027,1658.22222222222
"C","H2",2027,0
"T","Oil",2027,2141.24731182796
"T","LNG",2027,0
"T","LPG",2027,0
"T","MeOH",2027,0
"T","NH3",2027,0
"T","RefPO",2027,1911.82795698925
"T","H2",2027,0
"B","Oil",2027,2409.12
"B","LNG",2027,0
"B","LPG",2027,0
"B","MeOH",2027,0
"B","NH3",2027,0
"B","RefPO",2027,2166.93333333333
"B","H2",2027,0
"G","Oil",2027,2007.31034482759
"G","LNG",2027,0
"G","LPG",2027,0
"G","MeOH",2027,0
"G","NH3",2027,0
"G","RefPO",2027,1784.27586206897
"G","H2",2027,0
"O","Oil",2027,1074.37037037037
"O","LNG",2027,0
"O","LPG",2027,0
"O","MeOH",2027,0
"O","NH3",2027,0
"O","RefPO",2027,1279.01234567901
"O","H2",2027,0
"C","Oil",2028,1723.36666666667
"C","LNG",2028,0
"C","LPG",2028,0
"C","MeOH",2028,0
"C","NH3",2028,0
"C","RefPO",2028,1641.30158730159
"C","H2",2028,0
"T","Oil",2028,2119.39784946237
"T","LNG",2028,0
"T","LPG",2028,0
"T","MeOH",2028,0
"T","NH3",2028,0
"T","RefPO",2028,1892.31950844854
"T","H2",2028,0
"B","Oil",2028,2384.53714285714
"B","LNG",2028,0
"B","LPG",2028,0
"B","MeOH",2028,0
"B","NH3",2028,0
"B","RefPO",2028,2144.82176870748
"B","H2",2028,0
"G","Oil",2028,1986.8275862069
"G","LNG",2028,0
"G","LPG",2028,0
"G","MeOH",2028,0
"G","NH3",2028,0
"G","RefPO",2028,1766.06896551724
"G","H2",2028,0
"O","Oil",2028,1063.40740740741
"O","LNG",2028,0
"O","LPG",2028,0
"O","MeOH",2028,0
"O","NH3",2028,0
"O","RefPO",2028,1265.96119929453
"O","H2",2028,0
"C","Oil",2029,1705.6
"C","LNG",2029,0
"C","LPG",2029,0
"C","MeOH",2029,0
"C","NH3",2029,0
"C","RefPO",2029,1624.38095238095
"C","H2",2029,0
"T","Oil",2029,2097.54838709677
"T","LNG",2029,0
"T","LPG",2029,0
"T","MeOH",2029,0
"T","NH3",2029,0
"T","RefPO",2029,1872.81105990783
"T","H2",2029,0
"B","Oil",2029,2359.95428571429
"B","LNG",2029,0
"B","LPG",2029,0
"B","MeOH",2029,0
"B","NH3",2029,0
"B","RefPO",2029,2122.71020408163
"B","H2",2029,0
"G","Oil",2029,1966.34482758621
"G","LNG",2029,0
"G","LPG",2029,0
"G","MeOH",2029,0
"G","NH3",2029,0
"G","RefPO",2029,1747.86206896552
"G","H2",2029,0
"O","Oil",2029,1052.44444444444
"O","LNG",2029,0
"O","LPG",2029,0
"O","MeOH",2029,0
"O","NH3",2029,0
"O","RefPO",2029,1252.91005291005
"O","H2",2029,0
"C","Oil",2030,1561.0790513834
"C","LNG",2030,190.607942781856
"C","LPG",2030,232.965263400046
"C","MeOH",2030,0
"C","NH3",2030,0
"C","RefPO",2030,1486.74195369848
"C","H2",2030,0
"T","Oil",2030,1905
"T","LNG",2030,283.482142857143
"T","LPG",2030,272.982804232804
"T","MeOH",2030,0
"T","NH3",2030,0
"T","RefPO",2030,1700.89285714286
"T","H2",2030,0
"B","Oil",2030,2132.29565217391
"B","LNG",2030,352.562111801242
"B","LPG",2030,313.388543823326
"B","MeOH",2030,0
"B","NH3",2030,0
"B","RefPO",2030,1917.93788819876
"B","H2",2030,0
"G","Oil",2030,1795.22799575822
"G","LNG",2030,235.08938039691
"G","LPG",2030,253.294955309802
"G","MeOH",2030,0
"G","NH3",2030,0
"G","RefPO",2030,1595.75821845175
"G","H2",2030,0
"O","Oil",2030,964.114285714286
"O","LNG",2030,143.469387755102
"O","LPG",2030,148.783068783069
"O","MeOH",2030,0
"O","NH3",2030,0
"O","RefPO",2030,1147.75510204082
"O","H2",2030,0
"C","Oil",2031,1544.64664031621
"C","LNG",2031,188.601543384152
"C","LPG",2031,230.512997469519
"C","MeOH",2031,0
"C","NH3",2031,0
"C","RefPO",2031,1471.09203839639
"C","H2",2031,0
"T","Oil",2031,1884.94736842105
"T","LNG",2031,280.498120300752
"T","LPG",2031,270.109301030354
"T","MeOH",2031,0
"T","NH3",2031,0
"T","RefPO",2031,1682.98872180451
"T","H2",2031,0
"B","Oil",2031,2109.85043478261
"B","LNG",2031,348.850931677019
"B","LPG",2031,310.089717046239
"B","MeOH",2031,0
"B","NH3",2031,0
"B","RefPO",2031,1897.74906832298
"B","H2",2031,0
"G","Oil",2031,1776.33085896076
"G","LNG",2031,232.6147553401
"G","LPG",2031,250.62869262233
"G","MeOH",2031,0
"G","NH3",2031,0
"G","RefPO",2031,1578.96076352068
"G","H2",2031,0
"O","Oil",2031,953.965714285714
"O","LNG",2031,141.959183673469
"O","LPG",2031,147.216931216931
"O","MeOH",2031,0
"O","NH3",2031,0
"O","RefPO",2031,1135.67346938775
"O","H2",2031,0
"C","Oil",2032,1528.21422924901
"C","LNG",2032,186.595143986448
"C","LPG",2032,228.060731538992
"C","MeOH",2032,0
"C","NH3",2032,0
"C","RefPO",2032,1455.4421230943
"C","H2",2032,0
"T","Oil",2032,1864.89473684211
"T","LNG",2032,277.514097744361
"T","LPG",2032,267.235797827903
"T","MeOH",2032,0
"T","NH3",2032,0
"T","RefPO",2032,1665.08458646617
"T","H2",2032,0
"B","Oil",2032,2087.4052173913
"B","LNG",2032,345.139751552795
"B","LPG",2032,306.790890269151
"B","MeOH",2032,0
"B","NH3",2032,0
"B","RefPO",2032,1877.5602484472
"B","H2",2032,0
"G","Oil",2032,1757.43372216331
"G","LNG",2032,230.14013028329
"G","LPG",2032,247.962429934858
"G","MeOH",2032,0
"G","NH3",2032,0
"G","RefPO",2032,1562.16330858961
"G","H2",2032,0
"O","Oil",2032,943.817142857143
"O","LNG",2032,140.448979591837
"O","LPG",2032,145.650793650794
"O","MeOH",2032,0
"O","NH3",2032,0
"O","RefPO",2032,1123.59183673469
"O","H2",2032,0
"C","Oil",2033,1511.78181818182
"C","LNG",2033,184.588744588745
"C","LPG",2033,225.608465608466
"C","MeOH",2033,0
"C","NH3",2033,0
"C","RefPO",2033,1439.79220779221
"C","H2",2033,0
"T","Oil",2033,1844.84210526316
"T","LNG",2033,274.53007518797
"T","LPG",2033,264.362294625453
"T","MeOH",2033,0
"T","NH3",2033,0
"T","RefPO",2033,1647.18045112782
"T","H2",2033,0
"B","Oil",2033,2064.96
"B","LNG",2033,341.428571428571
"B","LPG",2033,303.492063492063
"B","MeOH",2033,0
"B","NH3",2033,0
"B","RefPO",2033,1857.37142857143
"B","H2",2033,0
"G","Oil",2033,1738.53658536585
"G","LNG",2033,227.665505226481
"G","LPG",2033,245.296167247387
"G","MeOH",2033,0
"G","NH3",2033,0
"G","RefPO",2033,1545.36585365854
"G","H2",2033,0
"O","Oil",2033,933.668571428571
"O","LNG",2033,138.938775510204
"O","LPG",2033,144.084656084656
"O","MeOH",2033,0
"O","NH3",2033,0
"O","RefPO",2033,1111.51020408163
"O","H2",2033,0
"C","Oil",2034,1495.34940711462
"C","LNG",2034,182.582345191041
"C","LPG",2034,223.156199677939
"C","MeOH",2034,0
"C","NH3",2034,0
"C","RefPO",2034,1424.14229249012
"C","H2",2034,0
"T","Oil",2034,1824.78947368421
"T","LNG",2034,271.546052631579
"T","LPG",2034,261.488791423002
"T","MeOH",2034,0
"T","NH3",2034,0
"T","RefPO",2034,1629.27631578947
"T","H2",2034,0
"B","Oil",2034,2042.5147826087
"B","LNG",2034,337.717391304348
"B","LPG",2034,300.193236714976
"B","MeOH",2034,0
"B","NH3",2034,0
"B","RefPO",2034,1837.18260869565
"B","H2",2034,0
"G","Oil",2034,1719.6394485684
"G","LNG",2034,225.190880169671
"G","LPG",2034,242.629904559915
"G","MeOH",2034,0
"G","NH3",2034,0
"G","RefPO",2034,1528.56839872747
"G","H2",2034,0
"O","Oil",2034,923.52
"O","LNG",2034,137.428571428571
"O","LPG",2034,142.518518518518
"O","MeOH",2034,0
"O","NH3",2034,0
"O","RefPO",2034,1099.42857142857
"O","H2",2034,0
"C","Oil",2035,1352
"C","LNG",2035,371.428571428571
"C","LPG",2035,453.968253968254
"C","MeOH",2035,0
"C","NH3",2035,0
"C","RefPO",2035,1287.61904761905
"C","H2",2035,0
"T","Oil",2035,1636.51006711409
"T","LNG",2035,547.938638542665
"T","LPG",2035,527.644614892937
"T","MeOH",2035,0
"T","NH3",2035,0
"T","RefPO",2035,1461.16970278044
"T","H2",2035,0
"B","Oil",2035,1822.02352941176
"B","LNG",2035,677.836134453781
"B","LPG",2035,602.521008403361
"B","MeOH",2035,0
"B","NH3",2035,0
"B","RefPO",2035,1638.85714285714
"B","H2",2035,0
"G","Oil",2035,1550.68890500363
"G","LNG",2035,456.899409509997
"G","LPG",2035,492.282192064643
"G","MeOH",2035,0
"G","NH3",2035,0
"G","RefPO",2035,1378.390137781
"G","H2",2035,0
"O","Oil",2035,835.764705882353
"O","LNG",2035,279.831932773109
"O","LPG",2035,290.196078431372
"O","MeOH",2035,0
"O","NH3",2035,0
"O","RefPO",2035,994.957983193277
"O","H2",2035,0
"C","Oil",2036,1336.97777777778
"C","LNG",2036,367.301587301587
"C","LPG",2036,448.924162257496
"C","MeOH",2036,0
"C","NH3",2036,0
"C","RefPO",2036,1273.31216931217
"C","H2",2036,0
"T","Oil",2036,1618.32662192394
"T","LNG",2036,541.850431447747
"T","LPG",2036,521.781896949682
"T","MeOH",2036,0
"T","NH3",2036,0
"T","RefPO",2036,1444.93448386066
"T","H2",2036,0
"B","Oil",2036,1801.77882352941
"B","LNG",2036,670.304621848739
"B","LPG",2036,595.826330532213
"B","MeOH",2036,0
"B","NH3",2036,0
"B","RefPO",2036,1620.64761904762
"B","H2",2036,0
"G","Oil",2036,1533.45902828136
"G","LNG",2036,451.82274940433
"G","LPG",2036,486.812389930591
"G","MeOH",2036,0
"G","NH3",2036,0
"G","RefPO",2036,1363.07469180566
"G","H2",2036,0
"O","Oil",2036,826.478431372549
"O","LNG",2036,276.72268907563
"O","LPG",2036,286.971677559913
"O","MeOH",2036,0
"O","NH3",2036,0
"O","RefPO",2036,983.90289449113
"O","H2",2036,0
"C","Oil",2037,1321.95555555556
"C","LNG",2037,363.174603174603
"C","LPG",2037,443.880070546737
"C","MeOH",2037,0
"C","NH3",2037,0
"C","RefPO",2037,1259.00529100529
"C","H2",2037,0
"T","Oil",2037,1600.14317673378
"T","LNG",2037,535.762224352828
"T","LPG",2037,515.919179006427
"T","MeOH",2037,0
"T","NH3",2037,0
"T","RefPO",2037,1428.69926494088
"T","H2",2037,0
"B","Oil",2037,1781.53411764706
"B","LNG",2037,662.773109243697
"B","LPG",2037,589.131652661064
"B","MeOH",2037,0
"B","NH3",2037,0
"B","RefPO",2037,1602.4380952381
"B","H2",2037,0
"G","Oil",2037,1516.2291515591
"G","LNG",2037,446.746089298664
"G","LPG",2037,481.34258779654
"G","MeOH",2037,0
"G","NH3",2037,0
"G","RefPO",2037,1347.75924583031
"G","H2",2037,0
"O","Oil",2037,817.192156862745
"O","LNG",2037,273.613445378151
"O","LPG",2037,283.747276688453
"O","MeOH",2037,0
"O","NH3",2037,0
"O","RefPO",2037,972.847805788982
"O","H2",2037,0
"C","Oil",2038,1306.93333333333
"C","LNG",2038,359.047619047619
"C","LPG",2038,438.835978835979
"C","MeOH",2038,0
"C","NH3",2038,0
"C","RefPO",2038,1244.69841269841
"C","H2",2038,0
"T","Oil",2038,1581.95973154362
"T","LNG",2038,529.67401725791
"T","LPG",2038,510.056461063172
"T","MeOH",2038,0
"T","NH3",2038,0
"T","RefPO",2038,1412.46404602109
"T","H2",2038,0
"B","Oil",2038,1761.28941176471
"B","LNG",2038,655.241596638655
"B","LPG",2038,582.436974789916
"B","MeOH",2038,0
"B","NH3",2038,0
"B","RefPO",2038,1584.22857142857
"B","H2",2038,0
"G","Oil",2038,1498.99927483684
"G","LNG",2038,441.669429192997
"G","LPG",2038,475.872785662488
"G","MeOH",2038,0
"G","NH3",2038,0
"G","RefPO",2038,1332.44379985497
"G","H2",2038,0
"O","Oil",2038,807.905882352941
"O","LNG",2038,270.504201680672
"O","LPG",2038,280.522875816993
"O","MeOH",2038,0
"O","NH3",2038,0
"O","RefPO",2038,961.792717086835
"O","H2",2038,0
"C","Oil",2039,1291.91111111111
"C","LNG",2039,354.920634920635
"C","LPG",2039,433.79188712522
"C","MeOH",2039,0
"C","NH3",2039,0
"C","RefPO",2039,1230.39153439153
"C","H2",2039,0
"T","Oil",2039,1563.77628635347
"T","LNG",2039,523.585810162991
"T","LPG",2039,504.193743119918
"T","MeOH",2039,0
"T","NH3",2039,0
"T","RefPO",2039,1396.22882710131
"T","H2",2039,0
"B","Oil",2039,1741.04470588235
"B","LNG",2039,647.710084033613
"B","LPG",2039,575.742296918767
"B","MeOH",2039,0
"B","NH3",2039,0
"B","RefPO",2039,1566.01904761905
"B","H2",2039,0
"G","Oil",2039,1481.76939811458
"G","LNG",2039,436.59276908733
"G","LPG",2039,470.402983528437
